KakaoTalk Chats 자전컴과방 (27)
Date Saved : 1:13PM, January 21, 2014


11:36AM, March 8, 2013
8:10PM, April 24, 2013, 오성민 : ㅗㅗ
8:11PM, April 24, 2013, 오성민 : 여기 단카방이야 내이미지를 그렇게 만들지마
8:11PM, April 24, 2013, 동권 : ㅋㅋㅋㅋㅋㅋ
8:11PM, April 24, 2013, 동권 : 몰아가기
8:11PM, April 24, 2013, 동권 : 성철이현
8:11PM, April 24, 2013, 동권 : 햔
8:11PM, April 24, 2013, 동권 : 현
8:11PM, April 24, 2013, 동권 : 형
8:11PM, April 24, 2013, 동권 : 태워주는거아님?
8:11PM, April 24, 2013, 동권 : 형 치기가 왤케어렵노
8:16PM, April 24, 2013, 이소명 : 홈스테드로 오시오
8:24PM, April 24, 2013, 오성민 : 그게 어디잇어?
8:25PM, April 24, 2013, 이소명 : 3번 출구 방향
8:25PM, April 24, 2013, 이소명 : 베스킨 쪽으로
8:26PM, April 24, 2013, 이소명 : ㅎㅎㅎㅎ
8:26PM, April 24, 2013, 동권 : 거기 비싼데
8:26PM, April 24, 2013, 동권 : 소명이 돈많네
8:27PM, April 24, 2013, 이소명 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 없어
8:27PM, April 24, 2013, 이소명 : 그니까 니가 와서 와플 사줘 ㅋㅋㅋㅋㅋㅋㅋ 야식 ㅋㅋㅋㅋㅋㅋ
8:28PM, April 24, 2013, 동권 : 엌ㅋㅋ 09학번 오성민씨가 갈거임
8:28PM, April 24, 2013, 동권 : 난 다음주에 과외비가 들어오지반
8:28PM, April 24, 2013, 동권 : 만
8:28PM, April 24, 2013, 동권 : 그전까지 16000원의 행복을 찍어야해
8:29PM, April 24, 2013, 이소명 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
8:31PM, April 24, 2013, 동권 : 앳파니니면 버스비가 더 들더라도 갔을텐데ㅠ
8:35PM, April 24, 2013, 동권 : 오늘 자구 스택칼큘레이터 만들사람 있음?
8:43PM, April 24, 2013, 전민영 cls11이조 : 그거우리작년에했던거아냐?ㅋㅋ 이번엔다른언어?
8:43PM, April 24, 2013, 동권 : 자바 ㅋㅋㅋ 근데 제곱기능도 추가됨ㅋㅋㅋㅋ
8:43PM, April 24, 2013, 동권 : 망함
8:43PM, April 24, 2013, 동권 : 프리픽스로 바꾸는거 다까먹엇는뎁
8:44PM, April 24, 2013, 이현제 : 논설실 완성
8:45PM, April 24, 2013, 이현제 : 그러나 믘이산 망할 느낌...
8:45PM, April 24, 2013, 동권 : 이산 내가공부한거랑
8:45PM, April 24, 2013, 동권 : 엄청 다른거 보던데;;
8:45PM, April 24, 2013, 동권 : 믁형 되게 어려운거하나봄
8:45PM, April 24, 2013, 동권 : 이소명 언제까지있을거야 거기
8:54PM, April 24, 2013, 이소명 : 10시까지
8:55PM, April 24, 2013, 동권 : 금방 가네
8:56PM, April 24, 2013, 오성민 : 어딘데
8:56PM, April 24, 2013, 오성민 : 없는데
8:56PM, April 24, 2013, 오성민 : 낳ㅗㅁ스테든데
9:03PM, April 24, 2013, 동권 : ㅋㅋㅋㅋㅋ
9:04PM, April 24, 2013, 동권 : 바람맞음

8:23AM, April 25, 2013
8:23AM, April 25, 2013, 오성민 :  챕6 뭔말이여.... ㅠㅠ
1:34PM, April 25, 2013, 오성민 : 해킹은
1:34PM, April 25, 2013, 오성민 : 뭐다녀...
1:34PM, April 25, 2013, 오성민 : 응답하라이소명
1:35PM, April 25, 2013, 이소명 : 하이
1:35PM, April 25, 2013, 오성민 : 해킹 뭐여
1:35PM, April 25, 2013, 오성민 : 브리핑좀여
1:35PM, April 25, 2013, 이소명 : 해킹 몰라요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1:36PM, April 25, 2013, 이소명 : (이모티콘_Frodo and Friends)셤보다 이렇게 될듯 ㅠㅠ
1:36PM, April 25, 2013, 오성민 : (이모티콘_Frodo and Friends)

7:12PM, April 27, 2013
7:12PM, April 27, 2013, 오성민 : <Photo>
7:12PM, April 27, 2013, 오성민 : 1,1성분과 4,1성분을 싼 큐브은 prime implicant일까요 아닐까아아아요오
7:14PM, April 27, 2013, 이다솔 : 둘다아닐걸요 ㅋㅋ
7:24PM, April 27, 2013, 오성민 : 둘다가아니라 ㅋㅋㅋ
7:25PM, April 27, 2013, 오성민 : 돈케어텀들만을 싼건
7:25PM, April 27, 2013, 오성민 : pi아니라능거디?
7:30PM, April 27, 2013, 이소명 : 이거 뭐야??
7:41PM, April 27, 2013, 오성민 : 질문
7:41PM, April 27, 2013, 오성민 : 이지.
7:41PM, April 27, 2013, 오성민 : 뭐긴뭐야
7:42PM, April 27, 2013, 오성민 : 그리거 nor로 xor깔끔히 구현하는법이 뭘까
8:04PM, April 27, 2013, 이현제 : 구글에 xor implementation with nor라고 쳐보세요
8:04PM, April 27, 2013, 이현제 : 4개로 깔끔하게 구현하는 거 나와요
9:20PM, April 27, 2013, 오성민 : 흠 고맙!
9:23PM, April 27, 2013, 이다솔 : ㅋㅋㅋㅋㅋ질문잘못읽엇네요
9:23PM, April 27, 2013, 이다솔 : 아마pi아닐걸요...
9:49PM, April 27, 2013, 오성민 : 땡스 ㅋㅋ

9:23AM, April 28, 2013
9:23AM, April 28, 2013, 최석원 호바스자전 : 엄밀하게따지면 dc set으로 이루어진 것도 pi에 해당할거같아요
9:23AM, April 28, 2013, 최석원 호바스자전 : <Photo>
9:43AM, April 28, 2013, 오성민 : 그치 나도 피피티 그부분 보고 그런게 아닌가 싶긴 햇는데...
9:43AM, April 28, 2013, 오성민 : 책은 어떠려나
10:34AM, April 28, 2013, 이다솔 : 책엔dc set에대한언급이업섯어서...
10:37AM, April 28, 2013, 오성민 : (헤롱) 뭐그런거 안묻겟디
12:24PM, April 28, 2013, 오성민 : ppt ch.4 p.6
12:24PM, April 28, 2013, 오성민 : <Photo>
12:24PM, April 28, 2013, 오성민 : switching network를 먹스랑 디먹스 쓴다고 되잇는데.. 먹스는 왜써야해??
12:25PM, April 28, 2013, 오성민 : <Photo>
12:25PM, April 28, 2013, 오성민 : 이렇게 하면 안됨??
12:35PM, April 28, 2013, 동권 : 아웃풋끼리는 연결 안하는게 좋아
12:36PM, April 28, 2013, 오성민 : 1번 경우에 y는 a랑만, z는 b랑만 연결되잔어
12:36PM, April 28, 2013, 오성민 : 2번은 반대로 b랑만, a랑만 연결되구
12:37PM, April 28, 2013, 동권 : 저 경우엔 그게 보장되는데
12:37PM, April 28, 2013, 동권 : 일반적으로 아웃풋끼리 연결하면 인풋 컨트롤이 우리맘대로 안됬을때 0이랑 1이랑 이어져서 회로 타버릴 가능성이 있슴
12:38PM, April 28, 2013, 오성민 : L. D. K. (하트)(반함)(하트)
12:39PM, April 28, 2013, 동권 : (부끄)
12:39PM, April 28, 2013, 동권 : 아 지금일어낫다ㅜ
12:45PM, April 28, 2013, 오성민 : ㅋㅋㅋㅋㅋㅋ과외안가냐
12:57PM, April 28, 2013, 동권 : 이제 가야지 ㄴㅋ
12:57PM, April 28, 2013, 동권 : 으아
9:37PM, April 28, 2013, 오성민 : 요거 그레이코드 아니지안니...
9:37PM, April 28, 2013, 오성민 : <Photo>
9:38PM, April 28, 2013, 동권 : 왜?
9:39PM, April 28, 2013, 오성민 : 0100부터 좀 이상한데..
9:39PM, April 28, 2013, 오성민 : 0100 그레이코드로 바꾸면
9:39PM, April 28, 2013, 오성민 : 0110 아님?
9:39PM, April 28, 2013, 동권 : 그냥 자기맘이지머 ㅋㅋㅋ
9:39PM, April 28, 2013, 오성민 : 아항
9:39PM, April 28, 2013, 동권 : 그레이코드는 한개씩만 변하기만 하면 다 그레이코드임
9:40PM, April 28, 2013, 오성민 : 아항 땡스

9:26AM, April 30, 2013
9:26AM, April 30, 2013, 오성민 :  먹스 딜레이 1이야 2야?

10:39AM, May 4, 2013
10:39AM, May 4, 2013, 이현제 : 믘이산 미친 듯요 ㅋㅋㅋ
10:39AM, May 4, 2013, 이현제 : 평균 33에 최고점 67이라니...
10:47AM, May 4, 2013, 이소명 : 그러게
10:50AM, May 4, 2013, 김경태 : 개망...
10:51AM, May 4, 2013, 정형식프원 : 아... ㅜㅜ
10:51AM, May 4, 2013, 이소명 : 걍 퀴즈나 잘 봐야지
10:58AM, May 4, 2013, 오성민 : 훔!
10:58AM, May 4, 2013, 오성민 : 슈밤
10:59AM, May 4, 2013, 오성민 : 그래도다행히 평균아래는 아니네
11:37AM, May 4, 2013, 이현제 : 중긴고사 평균 넘기면 뭐합니까 퀴즈 세 번 다 평균 아랜데 ㅠㅠ
3:26PM, May 4, 2013, 오성민 : 스쿼시 고글 잇으신분 엄나요 ㅠㅠ

10:26AM, May 7, 2013
10:26AM, May 7, 2013, 김경태 : 오늘소담마루오시는분?
10:26AM, May 7, 2013, 이다솔 : 나
10:28AM, May 7, 2013, 이현제 : 저도 가요
10:30AM, May 7, 2013, 오성민 : 뭐야그건
10:30AM, May 7, 2013, 남형욱 : me
10:31AM, May 7, 2013, 이다솔 : 오늘점심에자전에서컴공진입한사람들컴과지도겨수님이사주신대요 ㅋㅋ
10:39AM, May 7, 2013, 이소명 : 나
10:39AM, May 7, 2013, 은진수 cls 10 : 저도 감
10:39AM, May 7, 2013, 은진수 cls 10 : 성민아 문자 안 왔어??
10:42AM, May 7, 2013, 정형식프원 : 아직 진입안해서 안온듯 ㅋㅋㅋ
10:58AM, May 7, 2013, 오성민 : 우잉 좋겟다
10:58AM, May 7, 2013, 전민영 cls11이조 : 나는안왔는데
10:59AM, May 7, 2013, 전민영 cls11이조 : 진입했는데왜안오지
10:59AM, May 7, 2013, 은진수 cls 10 : 본인이 아직 학생인줄 아나봨ㅋㅋㅋㅋ
10:59AM, May 7, 2013, 전민영 cls11이조 : 저번에는 현익이도왔잖아
10:59AM, May 7, 2013, 은진수 cls 10 : 오 그러네
11:00AM, May 7, 2013, 은진수 cls 10 : 현익이 이 방에 잇어?
11:00AM, May 7, 2013, 조현익 : 안녕하세요 숨어있던 조현익입니다
11:00AM, May 7, 2013, 오성민 : ㅋㅋㅋㅋㅋㅋㅋ
11:00AM, May 7, 2013, 전민영 cls11이조 : 오늘몇신데
11:00AM, May 7, 2013, 은진수 cls 10 : ㅋㅋㅋ
11:00AM, May 7, 2013, 조현익 : 나한테도 연락안왔으니
11:00AM, May 7, 2013, 전민영 cls11이조 : 오늘은안갈랰ㅋ
11:00AM, May 7, 2013, 조현익 : 아마 휴학생에게 안돌린듯 ㅇㅇ
11:00AM, May 7, 2013, 전민영 cls11이조 : 게다가군휴학
11:03AM, May 7, 2013, 이종혁 cls09이조 : ㅠㅠ
11:04AM, May 7, 2013, 이종혁 cls09이조 : 난 컴과애서 점심사주는거 한번도 못먹었는데
11:04AM, May 7, 2013, 이종혁 cls09이조 : 휴학하니까 그런걸 시작하네
11:43AM, May 7, 2013, 전민영 cls11이조 : 오늘몆신데?
12:20PM, May 7, 2013, 김경태 : 열두시반이요
12:21PM, May 7, 2013, 전민영 cls11이조 : 일 때문에 못가겠네그럼ㅜㅜ
12:22PM, May 7, 2013, 김경태 : 아ㅜㅜ
12:24PM, May 7, 2013, 은진수 cls 10 : 왜 여기 아직 아무도 안옴ㅋㅋㅋㅋㅋ
12:24PM, May 7, 2013, 은진수 cls 10 : 소담마루 맨 끝에 루실이에요
12:32PM, May 7, 2013, 은진수 cls 10 : 지금 교수님 오셨어요
12:33PM, May 7, 2013, 유경인 : 헐....ㅜㅠ
12:49PM, May 7, 2013, 동권 : 가고싶다
12:49PM, May 7, 2013, 동권 : 랩...나쁜시키
5:23PM, May 7, 2013, 이다솔 : 논설숙제5하신분!!!?ㅜㅜ
5:23PM, May 7, 2013, 이다솔 : 좀보여즈세요^^;;;;;;;;;
5:23PM, May 7, 2013, 이다솔 : ㅎㅎ..
7:13PM, May 7, 2013, 정형식프원 : 낼보여줄게 ㅋㅋ
10:56PM, May 7, 2013, 동권 : 컴씨 이박삼일맞죠?
10:56PM, May 7, 2013, 오성민 :  일박이일아냐?
10:57PM, May 7, 2013, 동권 : 일박이일이 조으다
11:19PM, May 7, 2013, 이다솔 : 내일논설실퀴즈잇나요?ㅎㅎ
11:34PM, May 7, 2013, 이다솔 : ㅠㅠ

2:08AM, May 8, 2013
2:08AM, May 8, 2013, 이현제 : <Photo>
2:08AM, May 8, 2013, 이현제 : ㄷㄷ
7:04AM, May 8, 2013, 은진수 cls 10 : 오ㅋㅋ
7:49AM, May 8, 2013, 동권 : ㄷㄷ하닼ㅋ
9:19AM, May 8, 2013, 이상현 : ㅌㅋㅋㅋㅋㅋㅋㅋㄷㄷ해
9:52AM, May 8, 2013, 남형욱 : 벨 연구소 연구원 ㄷㄷㄷ
11:32AM, May 8, 2013, 동권 : 컴씨 후발도있나??
11:32AM, May 8, 2013, 동권 : 생각해보니 의상리허설ㅋㅋㅋ
11:37AM, May 8, 2013, 노승은 : 컴 씨후발
11:37AM, May 8, 2013, 노승은 : 욕같다 뭔가 
2:40PM, May 8, 2013, you : 컴씨 금요일 몇시 출발하는거죠? 그리고 토요일 몇시 도착?
3:15PM, May 8, 2013, 호정 : 이홉신가 아홉시반이요!
3:16PM, May 8, 2013, 남형욱 : 헐 열시가 아니야? ㅠ
3:21PM, May 8, 2013, 호정 : 난그렇게본 거 같은데(헤롱)
3:24PM, May 8, 2013, 남형욱 : 어디있어??
3:25PM, May 8, 2013, 남형욱 : 공지가 없어서 작년에 열시반에 출발했다길래 열시반인줄 알았는데
3:26PM, May 8, 2013, 이소명 : 헐 그렇게 일찍 ㅠㅠ
3:31PM, May 8, 2013, 호정 : 아그래???아닌가
3:31PM, May 8, 2013, 동권 : 엌 너무빨라ㅠㅠ
3:31PM, May 8, 2013, 동권 : 걍 가지말고 소팅이나 짤까...
3:33PM, May 8, 2013, 이소명 : ㅠㅠㅠ 근데 가면 뭐하는거야....... 무슨 이창건 교수가 액티브 한걸 원한다는.... 뭐지..
9:58PM, May 8, 2013, 오성민 : 다솔아~
9:59PM, May 8, 2013, 오성민 : 스누인베이징 가는거지??
10:19PM, May 8, 2013, 이다솔 : 네 ㅋㅋ
10:31PM, May 8, 2013, 오성민 : 돈냇으?ㅋㅋ
10:32PM, May 8, 2013, 이다솔 : 아뇨 ㅋㅋ
10:39PM, May 8, 2013, 오성민 :  계절수강신청 할 필요 압ㄱ나??
10:39PM, May 8, 2013, 오성민 : 머 듣는다고 하지 안앗엇나
10:50PM, May 8, 2013, 이다솔 : 업지안아요?ㅋㅋㅋㅋㅌ
10:52PM, May 8, 2013, 오성민 : ㅇㅋㅇㅋ
11:18PM, May 8, 2013, 오성민 : 형시강
11:19PM, May 8, 2013, 오성민 : 32빝 64빝 애더말이여.. 이렇게 구현하면 딜레이 생기지 안음?

8:47AM, May 10, 2013
8:47AM, May 10, 2013, 은진수 cls 10 : 지금 301동인 사람??
8:47AM, May 10, 2013, you : 거의 도착
8:48AM, May 10, 2013, 정형식프원 : 현재설입 ㅜ
8:54AM, May 10, 2013, 이현제 : 전 용산에서 전철 타고 갑니다 ㅎㅎ
9:51AM, May 10, 2013, 은진수 cls 10 : 아직 못 온 사람 있음?? 버스출발함ㅋㅋ
9:52AM, May 10, 2013, 전민영 cls11이조 : 오...디게빨리가네
9:54AM, May 10, 2013, 호정 : ㅋㅋ
10:44AM, May 10, 2013, 이현제 : 아... 30분에 한 대씩인 용문행 중앙선 전철 눈 앞에서 놓침...
10:45AM, May 10, 2013, 이현제 : 가면 점심 먹을 수 있으려나... ㅠ
10:46AM, May 10, 2013, 전민영 cls11이조 : 어디로가는거양?
10:47AM, May 10, 2013, 이현제 : 양평 미리내캠프요
10:47AM, May 10, 2013, 이현제 : 1시간 반 걸리는데 다음 열차가 11시 5분...ㅠㅠ
12:52PM, May 10, 2013, 은진수 cls 10 : 다섯시쯤에 자전 다같이 모여서 사진 찍읍시다
12:52PM, May 10, 2013, 은진수 cls 10 : 침울한 표정으로..
12:57PM, May 10, 2013, 이다솔 : 진짜개침울해요ㅠㅠㅠㅠㅠㅠ이게뭐야ㅑ
12:57PM, May 10, 2013, 이다솔 : ㅋㅋㅋㅋ큐ㅠ
1:08PM, May 10, 2013, 전민영 cls11이조 : 왜침울해?
1:08PM, May 10, 2013, 유경인 : ㅋㅋㅋㅋ왜요??
1:08PM, May 10, 2013, 은진수 cls 10 : 비오는데 우비쓰고 야외활동할것같아
1:09PM, May 10, 2013, 정형식프원 : 헐......  좀 아니다
1:10PM, May 10, 2013, 노승은 : 형식이 볼리베어네 ㅋㅋ
1:13PM, May 10, 2013, 정형식프원 : ㅇㅇ 볼베짱좋음
4:00PM, May 10, 2013, 오성민 : 에블바디
4:00PM, May 10, 2013, 오성민 : 오른쪽 사이드로 오세영
4:03PM, May 10, 2013, you : 사진 찍게요?
4:04PM, May 10, 2013, 동권 : 볼베 고인됫는데
4:06PM, May 10, 2013, 정형식프원 : 피구하는 인원이 있어서 끝나고 찍어요~
6:12PM, May 10, 2013, 최석원 호바스자전 : <Photo>
6:12PM, May 10, 2013, 최석원 호바스자전 : <Photo>
6:12PM, May 10, 2013, 동권 : 나 합성좀ㅋㅋㅋㅋ
6:16PM, May 10, 2013, 전민영 cls11이조 : 합성은셀프
9:13PM, May 10, 2013, 이다솔 : ㅋㅋ
10:38PM, May 10, 2013, 오성민 : 다들머함
10:38PM, May 10, 2013, 오성민 : 잘놀고잇마
10:38PM, May 10, 2013, you : 나 망함
10:39PM, May 10, 2013, you : 좋은 방있었는데 버스기사가 필요한다고... ㅠㅠ
10:40PM, May 10, 2013, 이다솔 : ㅠㅠㅠㅠㅠ
10:44PM, May 10, 2013, 오성민 : ?
10:44PM, May 10, 2013, 오성민 : 뭔말이야

1:17AM, May 11, 2013
1:17AM, May 11, 2013, 이다솔 : ㅋㅋㅋ자전모여요!.!.!
1:18AM, May 11, 2013, 이다솔 : ㅋㅋㅋㅋㅋㅋㅋ
1:23AM, May 11, 2013, 최석원 호바스자전 : 어디서ㅋㅋ
1:24AM, May 11, 2013, 오성민 : 어댜
1:24AM, May 11, 2013, 오성민 : 찾고잇음
1:24AM, May 11, 2013, 오성민 : 우리2층
1:26AM, May 11, 2013, 오성민 : 형시기아댜
9:23AM, May 11, 2013, 이현제 : 혹시 중앙선 전철 타실 분 있나요
9:55AM, May 11, 2013, 호정 : 다갔어요?(궁금)
9:56AM, May 11, 2013, 이현제 : 가다니?
9:56AM, May 11, 2013, 호정 : 집ㅋㅋ
9:57AM, May 11, 2013, 호정 : 아침먹을사람없나
9:57AM, May 11, 2013, 이현제 : 아침 줘?
9:57AM, May 11, 2013, 은진수 cls 10 : 나랑 성민이랑 경탁이는 아침에 용문역에서 지하철타고 집옴ㅋㅋ
9:57AM, May 11, 2013, 이현제 : 아 어제 다쳐서 놀지도 못 하고 (눈물)
9:58AM, May 11, 2013, 호정 : 근데시간이지났을거같기더해(눈물)
9:58AM, May 11, 2013, 이현제 : 몇 시에 가셨어요?
9:58AM, May 11, 2013, 호정 : 으앙그렇구나
9:58AM, May 11, 2013, 은진수 cls 10 : 6시쯤??
9:58AM, May 11, 2013, 이현제 : ㄷㄷ
10:00AM, May 11, 2013, 호정 : 현제야사람들다밥안먹음?
10:00AM, May 11, 2013, 이현제 : 나도 밥 못 먹었어...
10:00AM, May 11, 2013, 이현제 : 이 방 사람들은 자느라 정신 없는 듯
10:01AM, May 11, 2013, 호정 : 그러하구나...
10:02AM, May 11, 2013, 호정 : 집빨리출발하고싶닼ㅋㅋ
11:21AM, May 11, 2013, 호정 : 헐잘가고잇니얘들아...
11:21AM, May 11, 2013, 호정 : ㅋㅋㅋㅋㅋㅋㅜㅜㅜㅜ버스가참칼같네
11:22AM, May 11, 2013, 이현제 : 설마 버스 놓침?
11:23AM, May 11, 2013, 호정 : ㅋㅋㅋㅋㅋ그랬는데 집행부랑 같이갈듯
11:23AM, May 11, 2013, 이현제 : ... 다행이네
11:24AM, May 11, 2013, 호정 : ㅋㅋㅋ잘가~~
11:30AM, May 11, 2013, 최석원 호바스자전 : ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
12:03PM, May 11, 2013, 이다솔 : ㅋㅋㅋㅋㅋㅋ큐ㅠㅠㅠㅠ퓨조심해서가세뇨
1:03PM, May 11, 2013, 호정 : ㅋㅋㅋㅋㅋㅋㅂㅂㅂ

4:11PM, May 13, 2013
4:11PM, May 13, 2013, 동권 : <Photo>
4:11PM, May 13, 2013, 동권 : <Photo>
4:11PM, May 13, 2013, 동권 : <Photo>
4:11PM, May 13, 2013, 동권 : 오늘 예보인데 익명의 누군가가 보여달라길래
4:11PM, May 13, 2013, 동권 : 혹시 필요한사람 있으면 참고하세열....
4:12PM, May 13, 2013, 동권 : 글씨가 날라가는건 착시임
4:12PM, May 13, 2013, 정형식프원 : ㅋㅋㅋㅋㅋㅋ착시래
4:20PM, May 13, 2013, 김경태 : 레지스터가저항이에요?
4:21PM, May 13, 2013, 동권 : 넵
4:21PM, May 13, 2013, 김경태 : 그거 resistor아닌가요??ㅜㅜ
4:21PM, May 13, 2013, 동권 : 어
4:21PM, May 13, 2013, 동권 : 잘못봣나
4:22PM, May 13, 2013, 동권 : 예보 내용은 어쨌든 저항을 다루는거같아요
4:22PM, May 13, 2013, 동권 : 축전지랑 같이나오는걸보니
4:22PM, May 13, 2013, 동권 : 스펠링 틀린듯 ㅠ
4:23PM, May 13, 2013, 김경태 : 흠...
4:46PM, May 13, 2013, 이현제 : 흠....
4:48PM, May 13, 2013, 동권 : 흠....
4:48PM, May 13, 2013, 동권 : 제꺼 걍 무시하세요 ㅋㅋㅋ

11:09AM, May 14, 2013
11:09AM, May 14, 2013, 이현제 : <Photo>
11:09AM, May 14, 2013, 이현제 : 수학 책에 왜 쿼리가 나오는 것입니까...
11:55AM, May 14, 2013, 이상현 : 몬수학책인데 에스쿠엘이 나오는거냨ㅋㅋ
11:57AM, May 14, 2013, 이현제 : 이산수학 ㅋㅋㅋㅋ

11:28AM, May 15, 2013
11:28AM, May 15, 2013, 이다솔 : 컴씨결석계어디서받죠?ㅜㅜㅜ
12:41PM, May 15, 2013, 노승은 : 중앙전산원 컴퓨터에 eclipse 깔려있는지 아시는분 있나요~?
12:46PM, May 15, 2013, 이소명 : 그거 중전 사이트에서 다운받을수 있는거 같은데...
12:49PM, May 15, 2013, 동권 : 걍 이클립스 공식홈피 가서 공짜다운 ㄱㄱ
12:49PM, May 15, 2013, 은진수 cls 10 : 중전 보통깔려잇슴
12:56PM, May 15, 2013, 노승은 : 오옹
12:57PM, May 15, 2013, 노승은 : 감사 감사
5:14PM, May 15, 2013, 오성민 :  오늘결보없지?
5:20PM, May 15, 2013, 동권 : 예보만잇는듯

10:33AM, May 16, 2013
10:33AM, May 16, 2013, 오성민 : 301이나 302에 스캔 할 수 잇는데 잇나여
10:37AM, May 16, 2013, 김경태 : 과방이요
11:12AM, May 16, 2013, 오성민 : 댕큐

6:16PM, May 19, 2013
6:16PM, May 19, 2013, 동권 : 논설실팸 여러분
6:16PM, May 19, 2013, 동권 : 저번에 다이나믹 디스플레이 결보에
6:16PM, May 19, 2013, 동권 : 무슨내용 썼나요
6:16PM, May 19, 2013, you :  그건 내일 까지 아니지???
6:27PM, May 19, 2013, 동권 : 세개다 내일까지
6:27PM, May 19, 2013, 동권 : 결보두개 예보하나
6:28PM, May 19, 2013, you : ㅠㅠㅠㅠ
10:05PM, May 19, 2013, you : 동권아 결과보고서 14번 진자 내일까지 쓰는거야? 조교가 말했어??? 
10:05PM, May 19, 2013, you : 내조는 다 아니라그러네... 
10:06PM, May 19, 2013, 유경인 : 이티엘 보시면 8일실험 13일실험 결보 20일 예보라고 되잇어요!
10:08PM, May 19, 2013, 동권 : ㅇㅇㅇ 낼까지얌
10:08PM, May 19, 2013, 동권 : 내가 조교한테 물어봣름
10:08PM, May 19, 2013, 이다솔 : 퀴즈도잇대요??
10:08PM, May 19, 2013, 동권 : 킈즈는
10:09PM, May 19, 2013, 동권 : 안물어봐서 ㅠ
10:09PM, May 19, 2013, 이다솔 : ㅋㅋㅋㅋ넴
10:09PM, May 19, 2013, 동권 : 아마 잇지않을까요
10:09PM, May 19, 2013, 이다솔 : ㅠㅠ
10:16PM, May 19, 2013, you : 아 오케이..... 이제 알겠다. 땡큐!!!
11:26PM, May 19, 2013, 오성민 : 13일실함?? 15일게아니라??
11:27PM, May 19, 2013, you : 넵
11:29PM, May 19, 2013, 오성민 : 그니까.. 다이나믹 말고... 그 무어머신으러 구현한거??
11:32PM, May 19, 2013, you : 8일 결과보고서: 4bit counter 0~9
13일 결과보고서: 010 string pattern recognizer
내일하는 실험예비보고서
11:33PM, May 19, 2013, you : 15일 수요일했던건 다음 수업까지 제출인거같아요
11:34PM, May 19, 2013, 정형식프원 : 명쾌한정리다
11:34PM, May 19, 2013, 동권 : 스트링은 결보 없는걸로아는데
11:37PM, May 19, 2013, 동권 : 아 미친 ㅡㅡ
11:38PM, May 19, 2013, 동권 : 13일이네
11:38PM, May 19, 2013, you : <Photo>
11:38PM, May 19, 2013, 동권 : 아 저걸 전날밤에공지하네
11:39PM, May 19, 2013, 동권 : 낼 학교가서 해야겟다
11:39PM, May 19, 2013, you : 난 내일 아침 vhdl 8일 결과 하고 예비꺼 써야되............
11:40PM, May 19, 2013, 동권 : 우리조는 이미 15일꺼 써뒀는데 필요읎어짐

6:49PM, May 21, 2013
6:49PM, May 21, 2013, 이다솔 : 15일꺼결보안써도되는건가요?
6:54PM, May 21, 2013, 정형식프원 : 써야하지않나요? 
6:54PM, May 21, 2013, 이다솔 : 으악
6:55PM, May 21, 2013, 이다솔 : 빵판에구현한건데도해야되나요? ㄷㄷㄷ
6:55PM, May 21, 2013, 이다솔 : ㅠㅠ넵
11:19PM, May 21, 2013, 이다솔 : 엇!결보안써도된대요!!ㅎㅎ야호

3:49PM, May 22, 2013
3:49PM, May 22, 2013, 남형욱 : 자유전공 이과학회 사이언스토크에서 컴공 이광근 교수님 랩으로 랩투어를 갑니다
3:51PM, May 22, 2013, 남형욱 : 이번주 금요일 두시나 세시에 찾아갈 예정이구 필요할경우 자전에서 결석계 발급받을수 있어요
3:52PM, May 22, 2013, 남형욱 : 혹시 관심있으신 분들은 저에게 연락 부탁드려요~

6:55PM, June 1, 2013
6:55PM, June 1, 2013, 유경인 : 자구하시는분들ㅜㅠ chapter15.ppt 5,6번슬라이드 저렇게하면 160번 disk access하잖아요 근데 수업시간에 더 작은 횟수로 하는법 알려줫던거 같은데 머였죠?? 아 메모리에 block3개만 올릴수 잇다는 조건하에서요
9:11PM, June 1, 2013, 동권 : 세개씩 받아서 소팅하고 내보내고 그담엔 그 소팅된 묶음 세개를 받아서 소팅하고...
9:11PM, June 1, 2013, 동권 : 이런식이요~
9:16PM, June 1, 2013, 유경인 : 아 그런데 3개 중 하나는 output buffer로 써야대니까 인풋 3개못받는거 아닌가요??
9:22PM, June 1, 2013, 동권 : 두번째시행부터는 그렇게되겠네요
9:23PM, June 1, 2013, 동권 : 그때 교수님이 정확한 방법이 중요하다기보단
9:23PM, June 1, 2013, 동권 : 이런식으로 외부메모리 접근에 최소화시켜야한다는게 중요하다그래서

6:41PM, June 9, 2013
6:41PM, June 9, 2013, 오성민 : 논설실 리셋스테이트 따로 두는 경우랑 따로 안두는 경우 차이는 그냥 리셋기능을 만들고싶으냐 안만둘고싶으냐의 차이인가요?
6:43PM, June 9, 2013, 동권 : 리셋 없으면 인풋 초기화 안되서 몽땅플로팅 ㅅㄱ
6:44PM, June 9, 2013, 동권 : 회로망함ㅋㅋㅋ
6:46PM, June 9, 2013, 오성민 : 근데 카운터나
6:46PM, June 9, 2013, 오성민 : 시프트레지스터
